what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"16",1741317193660
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1741317193660
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1741317193660
java.specification.name,sysinfo,,,"Java Platform API Specification",1741317193660
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1741317193660
java.specification.version,sysinfo,,,"1.6",1741317193660
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1741317193660
java.version,sysinfo,,,"1.6.0_23",1741317193660
java.vm.info,sysinfo,,,"mixed mode",1741317193660
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1741317193660
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1741317193660
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1741317193660
java.vm.specification.version,sysinfo,,,"1.0",1741317193660
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1741317193660
java.vm.version,sysinfo,,,"19.0-b09",1741317193660
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1741317193676
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1741317194299
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1741317194572
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1741317194587
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1741317194778
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1741317195783
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1741317195800
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1741317195807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1741317196453
