what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"12",1747360691202
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1747360691202
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1747360691202
java.specification.name,sysinfo,,,"Java Platform API Specification",1747360691202
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1747360691202
java.specification.version,sysinfo,,,"1.6",1747360691202
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1747360691202
java.version,sysinfo,,,"1.6.0_23",1747360691202
java.vm.info,sysinfo,,,"mixed mode",1747360691202
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1747360691202
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1747360691202
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1747360691202
java.vm.specification.version,sysinfo,,,"1.0",1747360691202
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1747360691202
java.vm.version,sysinfo,,,"19.0-b09",1747360691202
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1747360691207
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1747360691926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747360693629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747360717487
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1747360718649
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1747360718661
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1747360720169
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1747360720199
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1747360720199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747360723527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747360724916
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1747360725458
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1747360725463
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1747360727157
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1747360727605
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1747360727605
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1747360727605
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1747360727605
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1747360727631
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop] return code: 4, 'other error'",1747360730289
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, /cygdrive/c/altera/13.0sp1/Systemofchip/Bai8/Bai8/software/Bai8/Bai8.elf] return code: 4, 'other error'",1747360733749
error,log,,,"Downloading ELF Process failed",1747360733751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747360733907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1747360795236
