what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743127857817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743127861195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743127868872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743127868922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743127872193
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1743127883554
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1743127883590
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1743127886204
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1743127896326
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1743127896832
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1743127896844
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1743127898261
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1743127903154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743127904397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743127943662
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1743127943681
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1743127945599
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1743127948325
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1743127952819
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1743127953397
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743127954495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743127978756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743127981041
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128080902
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1743128082720
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1743128082720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128085553
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1743128098115
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1743128098131
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1743128098211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128118222
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1743128118228
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1743128120258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128123255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128125278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128134322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128139501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128143148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128148744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128149345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128152638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128152955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128172999
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1743128173024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128177691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128180130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128181381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128203848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128211934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128222640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1743128225876
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1743128226142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128227127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128260203
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1743128261772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128264861
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1743128269071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128275660
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1743128275665
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1743128275665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128276986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128296255
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1743128296276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128310150
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1743128310211
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1743128313095
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1743128361316
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1743128361333
